CTYNAME,IYR,EYR,BAL,M49
China,505469.9544,129893.5867,-375576.3677,156
Mexico,314267.2992,243314.4386,-70952.86059,484
Japan,136480.8259,67605.07696,-68875.7489,392
Germany,117575.2274,53896.75349,-63678.47389,276
Vietnam,46488.47703,8133.364685,-38355.11234,704
Ireland,48796.83106,10707.55588,-38089.27517,372
Italy,49917.5157,18404.68981,-31512.8259,380
Malaysia,37395.50109,12964.46191,-24431.03917,458
South Korea,71444.24615,48326.4087,-23118,410
India,48602.94725,25688.8617,-22914.08555,356
Thailand,31151.94319,10991.61309,-20160.3301,764
Canada,299319.3859,282265.1353,-17054.25061,124
Taiwan,42461.77305,25729.50444,-16732.26861,158
France,48898.69614,33595.5144,-15303.18174,250
Switzerland,35997.02749,21684.83524,-14312.19225,756
Indonesia,20209.40789,6863.831289,-13345.5766,360
Russia,17021.39439,6998.497148,-10022.89724,643
Iraq,10754.20804,1204.721644,-9549.486393,368
Israel,21944.62322,12550.08258,-9394.540644,376
Venezuela,12336.98214,4133.114819,-8203.867324,862
Austria,11727.48511,4275.26315,-7452.221955,040
Sweden,10730.43175,3734.457331,-6995.974415,752
Denmark,7691.891514,2210.191808,-5481.699706,208
Nigeria,7051.830471,2170.069073,-4881.761398,566
Spain,15645.45829,11063.74055,-4581.717743,724
Finland,5894.1231,1534.930626,-4359.192474,246
Bangladesh,5687.414295,1473.961033,-4213.453262,050
Hungary,5087.726561,1888.233492,-3199.493069,348
Philippines,11625.81014,8450.925039,-3174.885096,608
Algeria,3805.619792,1059.840617,-2745.779175,012
South Africa,7742.808098,5020.062464,-2722.745634,710
Cambodia,3066.277546,400.220962,-2666.056584,116
Slovakia,3049.642203,441.620058,-2608.022145,703
Poland,7106.010803,4523.318939,-2582.691864,616
Saudi Arabia,18880.53819,16348.0001,-2532.538084,682
Sri Lanka,2857.941293,336.25559,-2521.685703,144
Czech Republic,4592.648554,2273.780613,-2318.867941,203
Portugal,3503.89918,1192.459324,-2311.439856,620
Angola,2603.653399,809.444868,-1794.208531,024
Nicaragua,3262.554858,1589.398811,-1673.156047,558
Ecuador,6378.59113,4820.700634,-1557.890496,218
Trinidad and Tobago,3314.431229,1816.745419,-1497.68581,780
Romania,2200.402995,954.684233,-1245.718762,642
Libya,1372.032757,134.952674,-1237.080083,434
Cote d'Ivoire,1216.344506,319.964133,-896.380373,384
Lithuania,1497.16663,609.272207,-887.894423,440
Pakistan,3573.969352,2808.16696,-765.802392,586
Madagascar,742.719665,53.367175,-689.35249,450
Botswana,772.385228,93.045279,-679.339949,072
Chad,525.550458,31.338485,-494.211973,148
Slovenia,761.066574,371.602049,-389.464525,705
Estonia,604.43941,273.958646,-330.480764,233
Lesotho,308.398227,1.901616,-306.496611,426
Greece,1257.098635,960.728649,-296.369986,300
Bulgaria,658.953056,381.490292,-277.462764,100
Liechtenstein,290.754664,27.744402,-263.010262,438
Colombia,13556.60818,13312.12295,-244.485229,170
Equatorial Guinea,355.924328,111.93615,-243.988178,226
Kazakhstan,791.292604,552.092011,-239.200593,398
New Zealand,4161.193334,3924.611227,-236.582107,554
Mauritius,285.580324,61.421605,-224.158719,480
Macedonia,255.337634,41.225784,-214.11185,807
Belarus,277.54115,72.668182,-204.872968,112
Serbia,292.520387,125.604552,-166.915835,688
Fiji,222.337577,66.551898,-155.785679,242
Burma,366.364164,211.368799,-154.995365,104
Kenya,572.178226,454.453344,-117.724882,404
Faroe Islands,118.624435,2.034537,-116.589898,234
Gabon,198.880746,89.00649,-109.874256,266
Bahrain,995.715976,898.1564,-97.559576,048
Latvia,452.943264,381.621395,-71.321869,428
